Observed,Predicted
1.4297959719957438,1.4660938
1.4088329234689754,1.4283235
1.5393668340450446,1.4909056
1.490666493929438,1.5506486
1.283505306807478,1.4983214
1.5589313786113286,1.542118
1.4681161572616888,1.5147616
1.4664923960104912,1.5408963
1.5596428654808576,1.5214738
1.5095244842637112,1.5356959
1.440612491714608,1.5187166
1.4878404612644875,1.5547473
1.541269883230475,1.5371126
1.540921733493219,1.5521549
1.5049347569476126,1.6007506
1.438648180640066,1.5871714
1.602704804437458,1.5457474
1.5191528517816388,1.611763
1.5101633367937326,1.6287236
1.508925763667369,1.5500212
1.4936168494886992,1.6811849
1.4197898023176505,1.4331627
1.3206108335277158,1.4891255
0.675534143479266,0.80390185
0.7311335098850504,0.65665585
0.7147670818582603,0.7582951
0.3507713413139784,0.32115102
0.152380143959115,0.22660026
-0.4415719544561775,-0.03956507
-0.4122225530372979,-0.3472274
-0.4034350210469132,-0.66969746
-0.5583083216849196,-0.6726698
-0.9224691614641182,-0.8383238
-0.9928629385784652,-0.72248054
-0.997027999098393,-0.8609441
-0.8199913615274479,-1.1414386
-1.227170115477261,-0.9820098
-0.9691120647687304,-1.038632
-0.7118188467414623,-0.9175914
-0.8706465095307617,-0.7283148
-0.826039777223605,-0.9919706
-0.7626889716609664,-0.88813335
-0.6102803104222185,-0.59989655
-0.6550872448648399,-0.60141796
-0.6805760911928785,-0.5765595
-0.6237118144519702,-0.6321595
-0.5495976189305705,-0.6874295
-0.6080445522199546,-0.77776694
-0.6008845130732938,-0.7477274
-0.4865923465262808,-0.52282095
-0.4694786165916053,-0.39917907
-0.4645214647673119,-0.39133388
-0.4233816127954805,-0.38479978
-0.3569369752695141,-0.45155758
-0.2507206056237535,-0.36386517
-0.2888435651306991,-0.21879089
-0.0442304695193283,-0.09695067
-0.022252194081302,-0.017959893
-0.156613786316174,-0.03887604
0.0453037923420337,-0.18931241
-0.0713268921286318,-0.17043929
0.025562953090372,-0.09390308
-0.2743016479633861,-0.3380281
-0.3100771041239976,-0.48049188
-0.3883760379351,-0.47827703
-0.491779917937703,-0.5068198
-0.473057242249623,-0.48696992
-0.5057185087072344,-0.59888023
-0.6588417790006552,-0.5904601
-0.5500671663292936,-0.38894117
-0.5413456422321864,-0.72978747
-1.0493578614512904,-0.89012545
-0.7673519414992817,-0.8741379
-1.0249005989847222,-0.87174654
-0.9815137232250012,-1.022779
-0.842023390924049,-0.89276934
-0.8978885534431347,-0.89044625
-0.9355930349444268,-0.85556215
-0.8758395520704183,-0.8736119
-0.9955700532098156,-0.97986037
-1.3647364853999204,-1.0731632
-1.4017929545520056,-1.123278
-1.478620571545613,-1.3631339
-1.6240555660995146,-1.393254
-1.5592756908647245,-1.4925423
-1.4040611108737846,-1.4216819
-1.2079562670651842,-1.227194
-1.0862881251459278,-1.0977232
-0.7732775384447566,-0.7229409
-0.4042756206221462,-0.590047
0.0506750055964609,0.108314514
0.4854449166465919,0.6667101
1.1250646032541776,0.83375067
0.9683241510679762,1.0321727
1.2700766038546003,1.1196847
1.2273872181708103,1.2624301
1.3853416760946589,1.4441955
1.557388333640251,1.5097768
1.2872703685687594,1.3882005
1.4476577006826028,1.4870242
1.4549536832996812,1.4751985
1.5320339832297152,1.4295521
1.370887107188882,1.4706407
1.4713626687160657,1.4154199
1.5383878086845528,1.4364607
1.4745292471318716,1.4802294
1.451598990799046,1.5139728
1.449397009835928,1.4632342
1.5532335712304497,1.4522705
1.613735288740326,1.4637395
1.4455230209941343,1.3588198
1.423366835606789,1.5084435
1.294563537564702,1.4120163
1.4228702705878309,1.4308145
1.289119710359044,1.3436103
1.3018974671921144,1.3052472
1.18215977726266,1.3777033
1.1143460216697207,1.1908358
0.7734806066924438,0.9605453
-0.0295997235192043,0.059051882
-0.5288983574687492,-0.7854948
-0.765110584900402,-1.1176577
-1.5024203215495953,-1.3658055
-1.991398817684431,-1.54446
-1.7215713909043386,-1.5692984
-1.7290557346324462,-1.6385926
-1.2453298563666262,-1.4650042
-1.0221113888372504,-1.3740923
-1.461242897359896,-1.152365
-1.277255708219465,-1.1977645
-1.0941065860835637,-1.250641
-1.127371762521847,-1.0865296
-1.101950098993915,-1.1591786
-0.9193421096156298,-1.0031067
-0.8462454968222944,-0.83953154
-0.6816105392826098,-0.71715873
-0.588790329206064,-0.51997995
-0.7021230943537234,-0.6890691
-0.5102147822451283,-0.7280001
-0.5267687831103617,-0.65694803
-0.8510293099658083,-0.73440534
-0.6435426526197536,-0.6509656
-0.936183935676297,-0.8410546
-0.8356820077401266,-0.7189952
-0.7127699580991899,-0.8697117
-0.7615603810266246,-0.7790431
-0.5319061331872288,-0.68242013
-0.602341291203472,-0.733822
0.2774322387439608,0.10074044
-0.1568759981384108,0.15226096
0.0739970471912794,0.034846593
0.187752987319215,0.28019294
0.2853079931759357,0.42729977
0.6774814397071268,0.369135
0.1559521795433494,0.42173448
0.2770345134611908,0.36959842
0.0988722670264486,0.34120318
0.1190399350457424,0.24087684
0.2191194230392247,0.23737323
-0.2507498842339009,-0.055258356
-0.4527047293491791,-0.32623342
-0.4626705266917953,-0.43923455
-0.470024819198041,-0.4381552
-0.5784478087208252,-0.36504233
-0.7148666058545287,-0.9044046
-1.0222771398474768,-0.9500702
-0.9746008958224698,-1.0470188
-1.1655850971963977,-1.2363046
-1.1781550427898717,-1.2229018
-1.4424311404882335,-1.2862755
-1.1659407341171526,-1.0471785
-1.1572051761568949,-1.1799644
-1.0075528212909275,-1.1305417
-1.0200311686989565,-0.8948802
-1.037290259009748,-0.89200735
-0.9213177344023302,-1.0279652
-1.0969509750514863,-0.9428034
-1.2019851155235666,-1.0663613
-1.4706191961202495,-1.3638899
-1.6609952227575824,-1.4739405
-1.6749460157155178,-1.4845545
-1.3348925842125596,-1.5766102
-1.4569759296326146,-1.1899153
-0.8150227460144234,-0.8713722
