Observed,Predicted
-0.89570699789835,-0.735924360663397
-1.0884728417871894,-0.8759912127074649
-1.2598477712360208,-1.0546827821728166
-1.5349404853345905,-1.1201876284543244
-1.473527715366476,-1.127464066503397
-1.552226625872479,-1.4004890289496246
-1.5802892871087395,-1.3517640145581185
-1.5700484158590324,-1.540998766376182
-1.6129666029037586,-1.5368529240402813
-1.5004581294116222,-1.5648352643066032
-1.4498751628087914,-1.527178929484881
-1.6481051713643973,-1.4843971205801216
-1.6239847773299003,-1.656003755753183
-1.7422362598606342,-1.5669347319037805
-1.5749614872673872,-1.6389687417220202
-1.622860470865361,-1.5143555123111732
-1.6398017899486628,-1.6446577515472047
-1.6648390997467264,-1.5629201831662531
-1.5510795800864576,-1.6105144058425613
-1.5441759311228955,-1.5369741114597846
-1.5393668043354425,-1.1626651099018688
-1.2768721284687652,-1.2265821107748622
-0.5588600845626668,-0.880381422122731
-0.4837891555000989,-0.35604742391458927
0.3255422443985712,0.10177970388130174
0.646349132942081,0.45915845976047315
0.9464067286251396,0.8941775780823167
1.160333432158314,0.6349827481283222
1.5321033727818998,0.8155880698913832
1.1960888405967465,0.9927914280095599
1.001991281287548,0.9059650942940284
0.8651872554333029,0.9465139096104015
0.8392848818274637,1.0021863314128423
0.6284302277740746,0.6745460398748776
0.6715266636717728,0.6047138242684448
0.945692494724431,0.6588465118151523
0.8473616771371998,0.7046022035324835
0.566908914369868,0.6839618603255366
0.5087214497160591,0.7065509360644338
0.7004983552641645,0.5682006017077311
0.6338896241779033,0.5291840788334154
0.637050627954958,0.651863049059394
0.6233533830601636,0.6546785756378961
0.438968250216338,0.6025859035108622
0.5187991725939359,0.45555039558263266
0.598856163252942,0.5845826937373824
0.4257557234269822,0.5835751854447329
0.4867761731666926,0.6053552920895077
0.8189090371932393,0.6105615484875131
0.6235238504677973,0.5335571801550771
0.3413545455719098,0.7094332426202805
0.1372298913508045,0.5889804200627947
0.0632117487814934,0.3797016056863107
0.1492123761897644,0.16323731170692418
0.0029452157404845,0.06584329087910366
0.1088266048911436,0.0775524565084491
0.0788008346666151,0.17795179609968553
-0.3544784485058265,0.1262608343641266
-0.2502958895563432,-0.05498829266644427
-0.3141621653141714,-0.024938534550901448
-0.2752360660449782,-0.15313589064937239
-0.2141467437389793,-0.07505503388328659
-0.1530574214329805,-0.0077427228947249795
-0.0919680991269817,0.05703553158409383
-0.0308787768209829,0.09442343387138505
0.0302105454850158,0.13596125029890138
0.0912998677910146,0.20865689602836596
0.1523891900970134,0.2788928448546348
0.2134785124030123,0.30511525161016717
0.2745678347090111,0.4205994707807818
0.33565715701501,0.4036513217826836
0.3967464793210087,0.39683550513404414
0.4578358016270075,0.4877265958184169
0.5189251239330064,0.5070071285456134
0.5800144462390051,0.5086033184136167
0.641103768545004,0.5977595529431792
0.6313737603780144,0.609381738951545
0.5444852467484348,0.6025658757033651
0.5818579130098528,0.5941046840977064
0.4894960336258424,0.5960704517789671
0.4227897028318029,0.5534236677461614
0.7605832456953302,0.5338972598054843
0.6937525213953952,0.7057900556010164
0.8766342116977428,0.7131305765359047
0.9725261503572612,0.907043272739463
0.8889078799090248,1.0333831374382088
0.9958449262842717,0.8958864116153479
0.922707653968726,0.909044803588555
0.8061697001002014,0.9478346314116819
0.5154255074074466,0.6727044725446003
0.4408338076826207,0.45402173811072016
0.1863106045728055,0.39854427312991425
0.0581172903619559,0.07909737538629866
-0.2078827270561471,-0.0012204602912644557
-0.6616645079397242,-0.46120934120342244
-0.759829512577554,-0.5304949110881085
-1.0322255690376487,-0.6313213972054895
-1.0616446635529786,-0.835050251981125
-1.0803081907473164,-0.9478954623158574
-1.248700236757997,-0.8470409573793782
-1.4541293554892505,-1.173621388484486
-1.2383655086974388,-1.2284571997038423
-1.3933832733836984,-1.1465232060722612
-1.425751195073604,-1.242037624299205
-1.462400361646215,-1.4123309058437234
-1.56770298823375,-1.3082849940239603
-1.5643394453094903,-1.5030369053370713
-1.4934826742689096,-1.428961714119904
-1.5623286038140465,-1.4507336093026784
-1.4798332456333525,-1.5294514548746003
-1.4770293766500164,-1.4445535838807475
-1.4793902003143458,-1.412440134551901
-1.6347066992178023,-1.404809469987438
-1.477456054655342,-1.5210224018295675
-1.4611122535026402,-1.5112123549629914
-1.427418038659133,-1.2930892540114514
-1.396208224453083,-1.3254995314253741
-1.2014617167214476,-1.2508491003564564
-0.9651140509464712,-0.8495198866776511
-0.658218453635019,-0.6614763988159197
-0.4291285476277678,-0.4442035479158238
0.0378562698400875,-0.10477558023742688
0.1220036709832427,0.1929194093808829
0.2754274702278256,0.20080080507076814
0.609264883480974,0.5766536370549841
0.7839550201852129,0.47339106471925085
