Observed,Predicted
-1.3518011726232997,-1.1022365810540546
-1.0744507695772314,-1.16728720300105
-1.1980607351760837,-1.2264447421071925
-1.1980607351760832,-1.3289654068860215
-1.5068602148296613,-1.334327583413137
-1.1999420576972932,-1.3398180105297282
-1.443253576805722,-1.379935001892161
-1.4667550319526088,-1.3785714757293366
-1.3660185341219464,-1.4281404364656274
-1.3961877100981217,-1.422434120257563
-1.558951218345061,-1.4508047500771313
-1.559565606046709,-1.4292337488732265
-1.3811864563330505,-1.4076095173659553
-1.6213679388467,-1.4844618629080026
-1.5616753850508869,-1.4617178388662095
-1.6224244646921169,-1.4268090247296334
-1.4822515634704785,-1.455151488256408
-1.5181606699884944,-1.462367328224714
-1.523229752270915,-1.4334508953267522
-1.4597230696374663,-1.4126530872605023
-1.415935176059738,-1.3902027165844044
-1.3864551883522227,-1.3136509988846428
-1.412327143951232,-1.1609063150994372
-1.2489815092748369,-0.8150419019182246
-1.2559851370210644,-0.5123975384775739
-0.6237013673857442,0.005195333454410131
-0.395231692216687,0.33680873062687827
-0.5586229614736539,0.746996830709466
-0.3172038678285053,0.9876546518357477
0.1045703788360254,1.182423983183196
0.3801638470729313,1.1352430406482168
0.6170010102765117,1.094037567847082
0.3816569660583928,0.9641770999663785
0.7571853329332735,1.0876519975184438
0.893395830249597,1.0091189516208328
0.6409213378790858,1.0098680041385009
1.010452606916746,1.0111550193842873
1.213999905330876,0.9619210636051376
1.0040225712094977,0.8640039412289836
0.7480848834509876,0.8082198609095432
0.7201574903672994,0.7152492175855488
0.6727883818160796,0.670664401442073
0.820922860180797,0.5747244686833037
0.7345937051207674,0.635921048458111
0.7433617351933528,0.5805751810350452
0.6905625861425838,0.614022013401877
0.8743798159917221,0.6178403891436022
0.6277655524433348,0.6437139513331118
0.6088920355609607,0.6535947729321588
0.8075148475495096,0.5503903803145979
0.6665749518984875,0.5275715209167016
0.4920281557018618,0.3931681237427068
0.3523964206810251,0.2667176628624823
0.455435728441703,0.22053710524877324
0.176541222805513,0.18647676953205122
0.3698613835856489,0.16293950530826828
0.3846877189663252,0.12762831639983235
0.1239280373757878,0.08636413024921803
0.2222322174253158,-0.04944206001289986
0.1914565527778178,0.05396453232701402
0.256849985626466,0.08573337212508086
0.3726310756822651,0.0938658264470272
0.2635655131858549,0.20966709895122915
0.140537541634954,0.17319540212934506
