Observed,Predicted
-0.860194410612237,-0.7455034
-1.0378152014473576,-0.9397705
-1.29373137081923,-1.1300414
-1.598610217287587,-1.2687142
-1.5907169270914596,-1.4505793
-1.58193407719955,-1.4808112
-1.6057421719772191,-1.5257926
-1.6303955399016132,-1.5523664
-1.7227678849096124,-1.5924586
-1.783658576028696,-1.6453888
-1.84518861613456,-1.6396812
-1.822293371594197,-1.6435555
-1.8065460315229904,-1.6580783
-1.8289014947406887,-1.6592276
-1.8210190062076896,-1.6664776
-1.7747621584379838,-1.6720898
-1.7443633910779677,-1.6305027
-1.705103052791196,-1.5913267
-1.6897916472932368,-1.5832742
-1.6879497915357236,-1.5292712
-1.609730737930975,-1.4699733
-1.388678236392611,-1.3953019
-0.3251251410498456,-0.9085082
-0.1249678304760323,-0.574226
0.3805858516076243,-0.14247307
0.5435088598833906,0.27196535
0.9988566944888754,0.51327515
1.1948498936909782,0.70188063
1.2216868274499473,0.8966089
1.1278043917611784,1.0141402
0.9393362587783756,0.91751176
0.7839769658352014,0.82887864
0.9489628641330426,0.8186368
0.9139167420024292,0.8105426
0.8268755607094416,0.80895436
0.7754390464318244,0.7265013
0.5302213315389183,0.6829565
0.5480709163878702,0.6479842
0.564780877824744,0.6086713
0.5161165033019206,0.544251
0.6171847219227019,0.5293129
0.6410874530027112,0.5534347
0.4628317491936894,0.5274436
0.5594053077170172,0.5391899
0.4599382282271202,0.541802
0.4848931454059738,0.51120096
0.4874387717471214,0.51107365
0.4640377914189977,0.5101156
0.4603712135176091,0.505038
0.3531608118282057,0.4403063
0.2320783387673793,0.3765895
0.1613789404564769,0.2730281
0.0570640987732505,0.1802745
0.0410899492487875,0.15096992
0.1556038610339824,0.13444482
0.1105159703442309,0.12865154
-0.0669011480678306,0.07216296
-0.2170760347953034,0.007835723
-0.1223721055877921,-0.011030201
-0.2386190907325479,-0.051545687
-0.3145136833989516,-0.079499595
-0.2293404848667992,-0.082550555
-0.3294573401218666,-0.053967316
-0.1460509813861101,-0.03224483
-0.019666063382917,-0.007881808
0.1006228993494777,0.0658892
0.0597155530154896,0.11426132
0.1643820666978772,0.1780727
0.2326981304089469,0.2238818
0.351273477839619,0.21424377
0.4229514150312615,0.33737952
0.5041783837347371,0.43180487
0.6432503076861472,0.38981503
0.5656226325589437,0.47724518
0.6160281737892223,0.5242502
0.561474440665427,0.49055028
0.5589284435423117,0.49594605
0.5252984441564139,0.5060477
0.4519747174900709,0.48678008
0.5608432966293018,0.4586697
0.5922417456046667,0.473076
0.5944266717122315,0.5090333
0.6701248185695303,0.58505154
0.852980363441651,0.70310307
0.8722288201135543,0.760478
0.9232694172050764,0.79924554
0.806133470027266,0.78591603
0.8175379850990788,0.69411737
0.8315782845722172,0.6577933
0.6254917574906322,0.56113344
0.5042971534181133,0.42214698
0.1344989721444316,0.25642815
-0.3378875923055028,-0.059277304
-0.5722000252739547,-0.2813966
-0.6248979602815233,-0.42642337
-0.7189386621158204,-0.5532743
-1.2170291297398863,-0.8307419
-1.3100907210177335,-1.0285836
-1.416149466352994,-1.2044184
-1.5040509911251152,-1.3716687
-1.548894308125432,-1.5039642
-1.6853417954200134,-1.5890272
-1.6904649624933856,-1.5883876
-1.792915333152244,-1.6183045
-1.855355452758386,-1.6230782
-1.830811733064084,-1.654734
-1.8250662343240325,-1.6682296
-1.7553900751512148,-1.6833605
-1.7945876756071018,-1.6768926
-1.7971509719029066,-1.6925668
-1.8947123174072984,-1.737125
-1.7986632910533664,-1.7204076
-1.8857778302832016,-1.6765829
-1.83590755907669,-1.7138612
-1.8651955075945084,-1.6664842
-1.851420344215908,-1.6354413
-1.7423041215366597,-1.5958642
-1.2280459726723985,-1.3525002
-1.0094176741939276,-1.0441662
-0.7051001792939166,-0.8579022
-0.171817084132935,-0.4403148
-0.0471818413666885,-0.19473875
-0.1254867145607745,0.012246031
0.4239789674067022,0.21892011
0.663537788450053,0.39321652
0.9146814650853176,0.6010227
0.8999761984933782,0.7413476
0.8552191080956637,0.8024834
1.0090716058675322,0.86863
0.8120799280000178,0.7712199
0.9451752298676388,0.78364754
0.8102237939425111,0.750447
0.8794319743069235,0.758877
0.8345162272893181,0.73796785
0.8615342603867474,0.7364745
0.8249393265091177,0.71708083
0.5512769893396436,0.6524782
0.5358725924823197,0.60668695
0.5192778532206302,0.57387704
0.6144266608483183,0.59882027
0.5847315701191818,0.5695176
0.5430927296371918,0.5708123
0.7252003724163263,0.59839356
0.6478508937268688,0.6229071
0.6359191621288943,0.61233795
0.5080585708418678,0.5967874
0.5314767613685344,0.5438634
0.539124863851987,0.50303584
0.4456287206358533,0.48173428
0.536802327227511,0.4648051
0.3697887701996329,0.39390174
0.2342994482328305,0.3106344
0.0614170278738104,0.2174448
0.293625050704509,0.22409177
0.2860190956891414,0.2327327
0.2579940414465829,0.24116881
0.3740054520130248,0.2574221
0.3321038696143583,0.3033078
0.4794735447932353,0.30886072
0.5399222730872278,0.3606404
0.6770194407416514,0.44069207
0.7418937692990354,0.49590743
0.5807570076271107,0.5459799
0.6737829549783471,0.64865327
0.870554901246616,0.7571699
0.8685739997837439,0.75354403
0.7334539270345107,0.77844405
0.7807364291243685,0.7861613
0.926392037481624,0.783439
0.95084108017062,0.8038358
0.9434927129332844,0.80972105
0.8290856436272065,0.8053358
0.8531288802270384,0.7976141
0.9283463712436296,0.8158331
0.9639704704950957,0.82871085
1.0337864803625014,0.85759526
1.0772123647821104,0.9233419
1.3104098520468517,0.98095423
1.292311154579015,1.0317074
1.4095122006765888,1.0907729
1.5215745655068182,1.1586494
1.436651432640263,1.2067009
1.4805077558218804,1.1324046
1.2626837728050044,1.0686823
1.0653851771203835,0.9581619
0.829115536259837,0.85855025
0.7906167672354462,0.70448315
0.1973626243134756,0.43534046
-0.1685288246305878,0.07747705
-0.5376371755721905,-0.19716258
-0.5996615041927642,-0.3767297
-1.0693969409047497,-0.5448006
-1.3641586124203844,-0.81927705
-1.1503614519358558,-1.0061413
-1.159812391747264,-1.1515357
-1.3740673398656482,-1.2920414
-1.4920119322073508,-1.4178268
-1.6137066549547678,-1.4553638
-1.5360733008619345,-1.4912459
-1.656863532230179,-1.5020463
-1.6978632179511006,-1.533083
-1.6166708189313412,-1.5621498
-1.6637544311678898,-1.5486027
-1.6924317548645549,-1.5768101
-1.647327775804593,-1.5618322
-1.681976160610639,-1.5701464
-1.6325393897717289,-1.5821857
-1.7136533323849026,-1.5237205
-1.547395222096904,-1.5283414
-1.5451007316315053,-1.501889
-1.5318377936805294,-1.4488941
-1.4879510400681353,-1.3969172
-1.290450812465329,-1.3120985
-0.9848422238726324,-1.1590073
-0.8583550251152594,-0.9925292
-0.7783870857739561,-0.7856111
0.1326259438445968,-0.39461625
0.5310449770269133,-0.0073892153
1.0359761725969048,0.38432112
1.1507349213725175,0.60933626
1.2175892362202927,0.76027614
1.095730072780554,0.8741715
0.9041316382027016,0.87352455
0.8964533198173696,0.8868486
0.974021552307022,0.91948986
0.9181700240631042,0.86315906
0.9203727435517756,0.8518411
0.8415077682917016,0.7914733
0.7260925954692414,0.73643374
0.6564801551990231,0.694919
0.5330248001705304,0.6313504
0.6561852951771812,0.64397365
0.5276909836102237,0.6216515
0.6259973182323914,0.64918345
0.6888883236777387,0.6232259
0.7521907542885733,0.6373593
0.6663421141966545,0.6167318
0.6620291155496271,0.61522895
0.6926835299418088,0.6155944
0.7417023749115913,0.6906667
0.7908046324386225,0.69385916
0.745404376891616,0.68731076
0.5361613518645425,0.6135382
0.3607440952631533,0.5131841
0.2299830321003151,0.3742227
0.1682690669454314,0.27431744
0.085402506630438,0.24043368
0.1682048100867256,0.19621232
0.003173835512878401,0.14282687
-0.1185235912827923,0.111056566
-0.2481626535142491,0.05035291
-0.146124098785162,0.03326197
-0.0592992311629868,0.043664478
-0.0332370256476662,0.045067377
-0.125233633896497,0.021936115
-0.0447990278570367,0.061790526
0.051429596718384596,0.11182325
-0.0987899266698592,0.12806784
-0.0515381594289705,0.13863248
0.026954513549182997,0.17170252
0.7526689060919005,0.29779765
0.6613949870305226,0.41064242
0.6958843087822192,0.53966594
0.7861500680360105,0.6478757
0.9833301983389372,0.79142463
1.0059665134119664,0.86942387
1.0227910669893447,0.91411936
1.05496183299578,0.9337493
0.9496600438971856,0.9021743
1.0062705928300535,0.88461626
0.8194413760586589,0.8776519
0.937493727593714,0.8700223
0.962702359020947,0.8759475
0.9692853928792357,0.92387384
1.0477318358502148,0.9695409
1.153318118756622,1.029019
1.169764421647326,1.0782924
1.2850660520723445,1.0989727
1.2351474704449887,1.0286934
1.098543551540608,0.9046155
0.6414254967291503,0.74187285
0.4214896859563701,0.55933625
0.4249177315687309,0.33908907
-0.4414719639932947,0.014844673
-0.3185266989443612,-0.16714917
-0.6587835495239927,-0.29478315
-0.8773145756197404,-0.41797918
-1.1045379898733905,-0.6076452
-1.449637690268127,-0.84857786
-1.4236693044291644,-1.0818287
-1.584137935933971,-1.2668598
-1.5278644984675374,-1.4107008
-1.6163699434556125,-1.4804562
-1.638260489190104,-1.5375266
-1.5899859657639852,-1.5731056
-1.7369660559762474,-1.5856677
-1.7220787806972837,-1.6217846
-1.817369291903531,-1.6322479
-1.793819912860559,-1.6503218
-1.745870815805319,-1.6386065
-1.688006183182715,-1.595586
-1.7617531654098846,-1.6299784
-1.744634762452701,-1.6110474
-1.7869722537746568,-1.6377494
-1.778822663176956,-1.6585329
-1.7249516910864824,-1.6295549
-1.6761925492757368,-1.6153731
-1.702785926099836,-1.5709841
-1.5340429125883537,-1.466695
-0.537717743430666,-1.01903
-0.529953825381149,-0.77691454
0.0034730714940548,-0.53945667
0.4456667172101716,-0.0971305
0.8313427324402021,0.37202194
1.3310371168014128,0.7034431
0.9190928086638206,0.8511028
1.2821256545073738,1.039834
1.315286210692728,1.1420197
1.0745795277282548,1.1053128
0.9170513253738116,0.97917205
1.0079005061917938,0.9506175
0.9521247187793536,0.9696203
1.0545520501825525,0.97291684
0.9359772483931528,0.92697746
0.9401750391994532,0.8859225
0.784177313186993,0.8586386
0.6802153270432605,0.8092974
0.6222269767144386,0.70954853
0.6460165208428292,0.64417607
0.7375388395552541,0.6147177
0.4981964241901052,0.56874114
0.5357710013043857,0.55951357
0.4494462444942708,0.513284
0.4645262234176668,0.58534366
0.818056775020368,0.64405537
0.836657965827205,0.7368137
0.8374262299068841,0.7260996
0.6544235678075074,0.6917624
0.5263734456322723,0.5999936
0.4021475821389589,0.517632
0.32608528429166134,0.44853368
0.2852490666743156,0.41480592
0.4935572937179053,0.45461696
0.3499846984517273,0.37558386
0.0782715029294201,0.32244828
0.0675031326610895,0.22207983
0.0919926164744602,0.1903106
0.0352580088269474,0.13578396
0.0392405486707628,0.11378733
0.0217526690647369,0.12443522
0.0747656637256203,0.13776678
0.0581375709523273,0.14456722
0.1589971788937505,0.1624017
0.0981001460917281,0.18488476
0.2252084618582397,0.2448126
0.4250556367983064,0.31837824
0.49101422603535944,0.40533686
0.6717791811043347,0.52911466
0.7204737738251775,0.633733
0.844666216945092,0.7309308
1.0085529119728087,0.8331351
1.017716009195104,0.93979025
1.1095717131518044,0.93737704
1.032822021728657,0.9206756
1.0042333073284118,0.89160776
0.8761226900434331,0.8776397
0.9001693679398396,0.83702934
1.0060521210218192,0.87724537
0.9880221239464201,0.8563174
0.9729447254358458,0.83844966
1.099332876433295,0.85381246
1.217488469448188,0.9103851
1.0913350813976734,0.93762183
1.2005361876330116,0.9655316
0.9218665485116654,0.85302323
0.8927629215613738,0.775181
0.4884951863485653,0.5264086
0.4387665038592105,0.4116362
0.281969830664371,0.3128427
-0.2743925921391565,0.0073364824
-0.6292069676442391,-0.2219715
-1.011811612788964,-0.40196276
-1.0619138636466243,-0.58970606
-1.3646430989766836,-0.83128965
-1.3126378316884326,-1.0551019
-1.6272426127056376,-1.259503
-1.4123145939909132,-1.336925
-1.5222840654441938,-1.4467704
-1.4129917459087291,-1.4863347
-1.4900516341561634,-1.4666352
-1.6128869920479434,-1.4770671
-1.6421399548975848,-1.4798505
-1.5990730929245018,-1.501614
-1.6770809938568785,-1.5064467
-1.6296803596097746,-1.537438
-1.7346389068712185,-1.5818694
-1.6368581699386218,-1.5431527
-1.7619958443509756,-1.5765563
-1.7521094263508652,-1.6066588
-1.7229918938847872,-1.5976826
-1.644171410651032,-1.5626422
-1.6405147902948267,-1.5508045
-1.5623714589788873,-1.5239847
-1.5858009153353128,-1.4738185
-1.3894268591687404,-1.4255954
-0.8608420721217528,-1.247382
-0.9120347571086248,-0.9656729
-0.4070148568016261,-0.68106455
0.48899256085219694,-0.17630924
0.9241303832406086,0.3265596
1.179958377791405,0.60227984
1.2920947353816956,0.79715896
1.3771450162593564,0.94515747
1.3195871032450162,1.0857923
1.0113475502552791,1.0375029
1.1972934668874884,1.0085362
1.1320160220100486,1.018359
1.0121601325566585,0.95955503
0.9520290422546182,0.8817868
0.8633221410207526,0.8408291
0.9273807124461244,0.80115414
0.8446327480890374,0.82956105
0.592867665045135,0.7688697
0.629433868607187,0.694676
0.6375596916209757,0.64280224
0.5988266019219136,0.64367
0.691596414662674,0.61647576
0.6328196281962658,0.6204919
0.6829288701146324,0.59736305
0.485742231646681,0.59335285
0.6983679338408317,0.60746074
0.64974842614166,0.6421084
0.6394557169908597,0.65217376
0.5800017786066355,0.6314423
0.5778348924696255,0.5530682
0.4373935847146354,0.49109894
-0.0130478710164129,0.3570924
0.0457289154499956,0.25069034
-0.0561147329894957,0.19773774
-0.0913266327159155,0.10996347
-0.3942844007466897,-0.014430961
-0.2264861555119424,-0.07542717
-0.2817417520057092,-0.118150234
-0.3157347782800606,-0.14643532
-0.2534368018410101,-0.15528941
-0.2381331684983738,-0.14347817
-0.3216937151568393,-0.1153656
-0.0776481639760372,-0.087054245
-0.0963375569077523,-0.04682349
-0.0777835943596002,-0.030345874
-0.1027027849352204,0.009403095
-0.0799504804966106,0.05173178
-0.0066826429889447,0.10094209
0.0481666623541325,0.13711481
0.0483020927376955,0.1778578
0.0909626635600889,0.20831953
0.1928063119995804,0.2304935
0.2687827571785088,0.2869719
0.87740690091132,0.44937715
0.856008900308342,0.61399925
0.8699582298153472,0.65472025
0.8106397218146861,0.72058856
0.7346632766357569,0.71927875
0.733173542416562,0.6843291
0.7151613014026629,0.6579105
0.7177344786903627,0.76862335
0.8114523041160651,0.7975894
1.2368391388879294,0.86432695
1.2908758619296277,0.95954406
1.264737797901939,1.0199977
1.264196076367686,0.9333175
1.2071798848875988,0.92371756
0.959342282967028,0.8271547
0.8717188248016682,0.69845414
0.611150766826161,0.5650303
0.5032127511263274,0.41259617
0.2456241615892099,0.2435496
-0.2963682334305295,-0.018584795
